capture_session_id,observed_start_utc,observed_end_utc,profile_revision_id,capture_state,recording_manifest_uri,recording_manifest_digest,raw_available,analysis_run_id,pipeline_lane,pipeline_release_id,trigger,analysis_state,analysis_created_utc,analysis_sealed_utc,analysis_manifest_uri,analysis_manifest_digest,input_manifest_digest,raw_integrity_attestation_id,product_count,complete_products,no_result_products,partial_products,product_bytes,recording_manifest_path,analysis_manifest_path,screen_category,screen_path_count,screen_band_relationship,screen_common_overlap_s,screen_normalized_slope_spread_hz_s,screen_observation_count,screen_qualified_pilot_segments,screen_analyzed_pilot_segments,screen_path_ids,screen_branch_ids
cap-20260825T010019-89c2889553e0,2026-08-25T01:00:22.692302Z,2026-08-25T01:01:22.796318Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T010019-89c2889553e0,sha256:033d1efc0107ff9db956d189b429cea16f576b66739e9548825f0180c8f511ba,t,capture-34471d9087a94ec1b043951350de3956,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T01:01:27.453374Z,2026-08-25T01:14:38.284801Z,bulk://analysis/cap-20260825T010019-89c2889553e0/capture-34471d9087a94ec1b043951350de3956/manifest.json,sha256:7ab61976065607e46ba4953c65b1c74b9b82311dae8f7b3256f2c8ecb3248c8d,sha256:033d1efc0107ff9db956d189b429cea16f576b66739e9548825f0180c8f511ba,883,138,138,0,0,433374109,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T010019-89c2889553e0/manifest.json,/srv/bulk/leo/analysis/cap-20260825T010019-89c2889553e0/capture-34471d9087a94ec1b043951350de3956/manifest.json,4p-same,4,same-band,9.820941315,40.2776761584264,2002,22,64,stream-0/radio_pluto_5d4d/RX0;stream-0/radio_pluto_5d4d/RX1;stream-1/radio_pluto_19f2/RX0;stream-1/radio_pluto_19f2/RX1,sha256:24b75d286a759c39a1c1f428416bbfd1706a4e06dc7c19e9d6a701ede465dbda;sha256:d820a6aa6b6d5b25b49e3e277f7559224c5f810d184350d815608af0c9b0349d;sha256:be34d146cfec9d9fe8b1fd1a73e2dd2c0fa6cc3931eed839f24d8539bcaae69d;sha256:5f2716dd54e070caeac4cc1ea76b694bdea81a4694d9b70d25432e84b238e856
cap-20260825T010300-aa2582286b8f,2026-08-25T01:03:03.238413Z,2026-08-25T01:04:03.384313Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T010300-aa2582286b8f,sha256:66fcfbf4e35bec31dc494ab2f918ad05cb6d5f4655e398519b0fc9287c09dd1c,t,research-08abcb555d1b42ce94d8372096b9e508,research,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T01:04:08.336939Z,2026-08-25T01:53:48.984092Z,bulk://analysis/cap-20260825T010300-aa2582286b8f/research-08abcb555d1b42ce94d8372096b9e508/manifest.json,sha256:a260aefde214ddabe669e5af0caf86348b9ccecec44f09d4a6be0b102172cfb7,sha256:66fcfbf4e35bec31dc494ab2f918ad05cb6d5f4655e398519b0fc9287c09dd1c,884,138,98,0,40,1068019561,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T010300-aa2582286b8f/manifest.json,/srv/bulk/leo/analysis/cap-20260825T010300-aa2582286b8f/research-08abcb555d1b42ce94d8372096b9e508/manifest.json,4p-cross,4,cross-band,8.739025352,95.2289412681871,2377,6,48,stream-0/radio_pluto_5d4d/RX1;stream-0/radio_pluto_5d4d/RX0;stream-1/radio_pluto_19f2/RX1;stream-1/radio_pluto_19f2/RX0,sha256:924a67c4e5ee8627fe7a41a140731ab433d5710b776b2743eb07e704970e722a;sha256:b6967659eb98767647053faef31ac7b6cb67805a8dc2573ae0476f2618338bdc;sha256:44abd50f4ca2f5445d412b71ba46dd3854bf0238b46a5fd3173071d6a08ec6a2;sha256:13055a53d2fd626fc40c65ad888efa01d576122cbd4f6674c124f865e52b1e89
cap-20260825T010600-7d9d5f09f5ab,2026-08-25T01:06:03.102144Z,2026-08-25T01:07:03.236738Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T010600-7d9d5f09f5ab,sha256:6141a9a8657f6798cb9715882e0438fdcb9b8094ef9495972950b79dc24c4fd1,t,capture-ac39c0debed0494590106627d70f8cda,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T01:07:07.803732Z,2026-08-25T01:28:15.323467Z,bulk://analysis/cap-20260825T010600-7d9d5f09f5ab/capture-ac39c0debed0494590106627d70f8cda/manifest.json,sha256:8b353a847719d7e7847fe93eb778a8a391a9ede0127ca15f02922bd8b7c7cbaa,sha256:6141a9a8657f6798cb9715882e0438fdcb9b8094ef9495972950b79dc24c4fd1,885,138,138,0,0,354409414,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T010600-7d9d5f09f5ab/manifest.json,/srv/bulk/leo/analysis/cap-20260825T010600-7d9d5f09f5ab/capture-ac39c0debed0494590106627d70f8cda/manifest.json,3p-cross,3,cross-band,7.375,31.122448682464892,580,0,32,stream-0/radio_pluto_5d4d/RX1;stream-1/radio_pluto_19f2/RX1;stream-0/radio_pluto_5d4d/RX0,sha256:2f845d8c29be07fb96fb02a33c6c8dd483d81a0399ded325c5033f7dcb3d08ca;sha256:7631b1612cfb6d53bef0bbb02a6cf4e7b07bf1bebc70c4573dace04f2f9b11da;sha256:cc958e675e03ff28ec4ca2a6e856edc0fff064b7b159c44cddfec4e80a0c0660
cap-20260825T012802-452eea3c52f6,2026-08-25T01:28:06.166157Z,2026-08-25T01:29:06.327853Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T012802-452eea3c52f6,sha256:8420d055d5095fe14fe35063fa7aacc8f839a6cefcfc8511e340a3a0254b4dd6,t,research-120614c096b14fc88d2a8261f6c33363,research,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T01:29:12.043929Z,2026-08-25T02:14:03.802704Z,bulk://analysis/cap-20260825T012802-452eea3c52f6/research-120614c096b14fc88d2a8261f6c33363/manifest.json,sha256:c60e266e08c2f013d79016e39c0a4f6395a130360f72abfd444ba4bb86d3804b,sha256:8420d055d5095fe14fe35063fa7aacc8f839a6cefcfc8511e340a3a0254b4dd6,886,138,138,0,0,807254947,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T012802-452eea3c52f6/manifest.json,/srv/bulk/leo/analysis/cap-20260825T012802-452eea3c52f6/research-120614c096b14fc88d2a8261f6c33363/manifest.json,4p-same,4,same-band,5.57,33.423248530285946,1013,1,64,stream-0/radio_pluto_5d4d/RX0;stream-1/radio_pluto_19f2/RX0;stream-1/radio_pluto_19f2/RX1;stream-0/radio_pluto_5d4d/RX1,sha256:c6a6e38d162ec726a0c58eb0bf59e644ac760ce9791de78b5213e498d67b3d95;sha256:4633c0e8f4ce210ef10a8bb23d56b082a94938e2093adb69e1e01bdc52d990dc;sha256:9c9d1a471f8d58c9f26f014c07c37d4684a6dc7c3277a365ccc941b7402e050c;sha256:b33e42f86aaaeb0a783edb16e54ca437fa1583bae6470118995f3f65710f1861
cap-20260825T013042-add800a6b98b,2026-08-25T01:30:45.646307Z,2026-08-25T01:31:45.807730Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T013042-add800a6b98b,sha256:654d237d5d23635a2a6c4ecfd1f964e4e8f5cdef85e50b74dbc68a76e62d1b23,t,capture-08a67c83ff214a04bc06f5aec1505662,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T01:31:50.958928Z,2026-08-25T01:58:04.784894Z,bulk://analysis/cap-20260825T013042-add800a6b98b/capture-08a67c83ff214a04bc06f5aec1505662/manifest.json,sha256:b7c69a94140aa92cb6be9667d3b8b3d7be1761557abb6655a420e282e2426871,sha256:654d237d5d23635a2a6c4ecfd1f964e4e8f5cdef85e50b74dbc68a76e62d1b23,887,138,42,96,0,264839818,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T013042-add800a6b98b/manifest.json,/srv/bulk/leo/analysis/cap-20260825T013042-add800a6b98b/capture-08a67c83ff214a04bc06f5aec1505662/manifest.json,single-path,,,,,,,,,
cap-20260825T015754-6bfe6b67b1be,2026-08-25T01:57:58.222954Z,2026-08-25T01:58:58.385608Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T015754-6bfe6b67b1be,sha256:2e48143fadaca5bb2a976a5818029728d213c309bcf5017d5dbbcb1f47d03042,t,capture-767bebcdeb7e435882f5fad1dd04e2cd,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T01:59:03.981580Z,2026-08-25T02:22:41.033802Z,bulk://analysis/cap-20260825T015754-6bfe6b67b1be/capture-767bebcdeb7e435882f5fad1dd04e2cd/manifest.json,sha256:dd32f3ebb99be22ee304154d443563364e72a97df5238e052989100d639a3a20,sha256:2e48143fadaca5bb2a976a5818029728d213c309bcf5017d5dbbcb1f47d03042,888,138,138,0,0,398953396,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T015754-6bfe6b67b1be/manifest.json,/srv/bulk/leo/analysis/cap-20260825T015754-6bfe6b67b1be/capture-767bebcdeb7e435882f5fad1dd04e2cd/manifest.json,4p-cross,4,cross-band,5.387292253,21.72578470243161,713,18,64,stream-1/radio_pluto_19f2/RX1;stream-0/radio_pluto_5d4d/RX0;stream-0/radio_pluto_5d4d/RX1;stream-1/radio_pluto_19f2/RX0,sha256:f756a0cc1a4871fd73ee82b771a6714ebba1fd3015424364cb33e1a92ae3662e;sha256:68b540f8cc9cacb7ab821afeb17ea0995c988a9aecbcb9c084f4a459e83b39f7;sha256:27dc7b2f88d6fc726f31a1ba8456b6db76c23a0bd9326070f2d927c60069e377;sha256:6200fe0af36b05de2c08e4e90ccf63036ce2b996bbb1ac8ac85d9d16039c82e8
cap-20260825T020035-c9413370f93b,2026-08-25T02:00:38.552496Z,2026-08-25T02:01:38.714610Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T020035-c9413370f93b,sha256:cf3c594697f9fde46183162e7684f3dc1b6185e72c4b44dad2f479a9a82195e0,t,capture-7ea06e74566045a9a91414c6774a85b2,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T02:01:44.049677Z,2026-08-25T02:32:31.542102Z,bulk://analysis/cap-20260825T020035-c9413370f93b/capture-7ea06e74566045a9a91414c6774a85b2/manifest.json,sha256:0a28ef79e4c249440c4a87523de84d37c34c9050253e47021aa6b23997ad950f,sha256:cf3c594697f9fde46183162e7684f3dc1b6185e72c4b44dad2f479a9a82195e0,889,138,138,0,0,322830795,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T020035-c9413370f93b/manifest.json,/srv/bulk/leo/analysis/cap-20260825T020035-c9413370f93b/capture-7ea06e74566045a9a91414c6774a85b2/manifest.json,4p-same,4,same-band,4.35,29.109602677338444,632,21,64,stream-1/radio_pluto_19f2/RX0;stream-1/radio_pluto_19f2/RX1;stream-0/radio_pluto_5d4d/RX0;stream-0/radio_pluto_5d4d/RX1,sha256:dd9fc756e2cb9b27f3bc5b31e6c18538be7563ac859bf002a9ee9425ed5e8506;sha256:15ed76ae5e43925a81abd72926dfad25be02ed20d6e72c7df8608e5f9ce714ac;sha256:fec4846c2b9e6fc5a3ead81b2a8d6477ff08a0660fce89e9b5f58ddf08305273;sha256:8824962b2fb9de286595ce7d66b89fc9e7bfb0e40252846b073ee63cd2cc865e
cap-20260825T022235-0afd1298f096,2026-08-25T02:22:38.201510Z,2026-08-25T02:23:38.335539Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T022235-0afd1298f096,sha256:fd60b12be6b68c2b896c32b8ac0e913d2e638227b9d680633acdac4978a2058c,t,capture-210113d6f0f842bb9f0b800486c8bdfe,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T02:23:43.300296Z,2026-08-25T02:41:12.916902Z,bulk://analysis/cap-20260825T022235-0afd1298f096/capture-210113d6f0f842bb9f0b800486c8bdfe/manifest.json,sha256:51b93db5130046c2e1b26334d1402be44ba8e3436e535e2b3b9d2c05bc7317af,sha256:fd60b12be6b68c2b896c32b8ac0e913d2e638227b9d680633acdac4978a2058c,890,138,138,0,0,312307677,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T022235-0afd1298f096/manifest.json,/srv/bulk/leo/analysis/cap-20260825T022235-0afd1298f096/capture-210113d6f0f842bb9f0b800486c8bdfe/manifest.json,3p-same,3,same-band,7.984116211,82.96502264684932,1239,35,48,stream-1/radio_pluto_19f2/RX0;stream-1/radio_pluto_19f2/RX1;stream-0/radio_pluto_5d4d/RX0,sha256:c39d6b6e1a3b403d52fcf68dbe5d11ae91ec751a9cdde6b43f197b27e34c7097;sha256:fc220a93f260fdc9ba2a1cef9155f2ba2950392c56e73014c3dfac68ade90e2d;sha256:9c94d933360300240ca48e64d56b0e1e84c42ad17380c427603daa5f80486d6f
cap-20260825T022509-735366370195,2026-08-25T02:25:12.449103Z,2026-08-25T02:26:12.586082Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T022509-735366370195,sha256:6ba3f2984c0af96ddca3d6a53e036eeb7b95189df5072620441a08b8cc4f1d48,t,capture-e67fced4a5da471baee04d2245538599,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T02:26:17.228467Z,2026-08-25T02:48:59.472569Z,bulk://analysis/cap-20260825T022509-735366370195/capture-e67fced4a5da471baee04d2245538599/manifest.json,sha256:a0358a8844aa02a190253d6c90f9592452ef22418e11147a172c58c89617ca70,sha256:6ba3f2984c0af96ddca3d6a53e036eeb7b95189df5072620441a08b8cc4f1d48,891,138,108,30,0,249874023,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T022509-735366370195/manifest.json,/srv/bulk/leo/analysis/cap-20260825T022509-735366370195/capture-e67fced4a5da471baee04d2245538599/manifest.json,2p-same,2,same-band,2.162982227,49.17705182957798,133,5,24,stream-0/radio_pluto_5d4d/RX0;stream-1/radio_pluto_19f2/RX1,sha256:442b2968bd141249f495d690ab7eec753a2412f0e000a1d065350f330823202c;sha256:91bc829402ef2a6e311573a0d2cba716e8be5cfbdc8a5b9cda30d8df55aeaf8f
cap-20260825T024108-b84b64ae03dd,2026-08-25T02:41:11.245136Z,2026-08-25T02:42:11.375781Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T024108-b84b64ae03dd,sha256:d0f9b95eff8bbf970eb6d277282cbfa6f77cf7bb462dbdd8b834ada050ee6da1,t,capture-0fd67ad813fb4ddb870829003c898075,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T02:42:16.773052Z,2026-08-25T02:57:32.986424Z,bulk://analysis/cap-20260825T024108-b84b64ae03dd/capture-0fd67ad813fb4ddb870829003c898075/manifest.json,sha256:4356347ee25155df282c55b101735fa80aa4d60b94aa89f17986c22ffc46dc68,sha256:d0f9b95eff8bbf970eb6d277282cbfa6f77cf7bb462dbdd8b834ada050ee6da1,892,138,110,28,0,308097404,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T024108-b84b64ae03dd/manifest.json,/srv/bulk/leo/analysis/cap-20260825T024108-b84b64ae03dd/capture-0fd67ad813fb4ddb870829003c898075/manifest.json,2p-same,2,same-band,9.05,1.1544341789031023,546,0,32,stream-0/radio_pluto_5d4d/RX0;stream-0/radio_pluto_5d4d/RX1,sha256:71ffd1ee1cba970843dc5f051ab16ce43b7d03e7b940d80ab19172ef24ef7a33;sha256:3b7d1eeb9d283a8bc7b6e4a5d3cb4f16414a67d0dabfaa41572f30515b13c2e7
cap-20260825T024341-f541d7f4b1b8,2026-08-25T02:43:44.837963Z,2026-08-25T02:44:44.964726Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T024341-f541d7f4b1b8,sha256:f608ae48e9f4fe0f21e56ad9c4fa1d6b9c4d4e7467edcf9f184e1a3fb5d4c53d,t,capture-c54715572af241ba863f404d20d508fb,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T02:44:50.271039Z,2026-08-25T03:05:20.287317Z,bulk://analysis/cap-20260825T024341-f541d7f4b1b8/capture-c54715572af241ba863f404d20d508fb/manifest.json,sha256:51f7119326d61d5667bca72c9e2e44435a132c134e8abe1d012afab6756739cd,sha256:f608ae48e9f4fe0f21e56ad9c4fa1d6b9c4d4e7467edcf9f184e1a3fb5d4c53d,893,138,42,96,0,248686998,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T024341-f541d7f4b1b8/manifest.json,/srv/bulk/leo/analysis/cap-20260825T024341-f541d7f4b1b8/capture-c54715572af241ba863f404d20d508fb/manifest.json,single-path,,,,,,,,,
cap-20260825T025726-95600b91320e,2026-08-25T02:57:29.735986Z,2026-08-25T02:58:29.871339Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T025726-95600b91320e,sha256:3f52947d6e8ecfd578354c1999a9a57d2d754ed5d18f06b5634fd7df519032b0,t,capture-8947b31bf4e04ebab75bea81adbe1741,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T02:58:34.379932Z,2026-08-25T03:12:52.675009Z,bulk://analysis/cap-20260825T025726-95600b91320e/capture-8947b31bf4e04ebab75bea81adbe1741/manifest.json,sha256:c2826eb30195c5f4149ede41e1bdb39a4f986f4f6d55b3f5095720e27525d0d3,sha256:3f52947d6e8ecfd578354c1999a9a57d2d754ed5d18f06b5634fd7df519032b0,894,138,42,96,0,246588013,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T025726-95600b91320e/manifest.json,/srv/bulk/leo/analysis/cap-20260825T025726-95600b91320e/capture-8947b31bf4e04ebab75bea81adbe1741/manifest.json,single-path,,,,,,,,,
cap-20260825T030000-49e936766343,2026-08-25T03:00:03.339028Z,2026-08-25T03:01:03.462110Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T030000-49e936766343,sha256:37ed7ac4531dd0d1406de21c5b7ccada977e43ffd1183b7b091eb4aeeb67f8a1,t,capture-38c9098246b24aba8bfac4fdea6bc77d,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T03:01:07.809488Z,2026-08-25T03:22:28.411740Z,bulk://analysis/cap-20260825T030000-49e936766343/capture-38c9098246b24aba8bfac4fdea6bc77d/manifest.json,sha256:878a14bf8c85f6714138530dfb9cefa7a1e819ce75c39e61813c03853858f1b8,sha256:37ed7ac4531dd0d1406de21c5b7ccada977e43ffd1183b7b091eb4aeeb67f8a1,895,138,138,0,0,393941033,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T030000-49e936766343/manifest.json,/srv/bulk/leo/analysis/cap-20260825T030000-49e936766343/capture-38c9098246b24aba8bfac4fdea6bc77d/manifest.json,4p-same,4,same-band,8.6,31.839686356289803,1455,32,64,stream-1/radio_pluto_19f2/RX1;stream-1/radio_pluto_19f2/RX0;stream-0/radio_pluto_5d4d/RX1;stream-0/radio_pluto_5d4d/RX0,sha256:f8d8c6670e4a70d15915062f69dff9f69cb0a1773b086ba3384ae68ecbcc2442;sha256:d86f88018bafc5144cdaf280127300e0c32cebc3b0e4829c30b2b665c7064f15;sha256:73defbfdb4537178f3e086a188dd674186407b7569c9c8396f8730af37b6ba6c;sha256:9c185bbcd270c144e1fd78758826ddcb5ca065df2c6789a86a44efce6f03ff91
cap-20260825T031245-4fbc260ab065,2026-08-25T03:12:48.648396Z,2026-08-25T03:13:48.781974Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T031245-4fbc260ab065,sha256:84990a0f2e6c1a160ff19da68fff16e97a498a8ea583edce9a68a8bdb2de0999,t,capture-aaa5b47434b245a49f6b7490fc19c06a,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T03:13:53.390820Z,2026-08-25T03:30:33.655851Z,bulk://analysis/cap-20260825T031245-4fbc260ab065/capture-aaa5b47434b245a49f6b7490fc19c06a/manifest.json,sha256:b817ff0625dedc79acceb32323c54b1fa7f3aaa1d097e4a3b24caf8d35c75e7f,sha256:84990a0f2e6c1a160ff19da68fff16e97a498a8ea583edce9a68a8bdb2de0999,896,138,138,0,0,288143463,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T031245-4fbc260ab065/manifest.json,/srv/bulk/leo/analysis/cap-20260825T031245-4fbc260ab065/capture-aaa5b47434b245a49f6b7490fc19c06a/manifest.json,4p-cross,4,cross-band,10.316401955,43.89317113980769,1209,29,64,stream-0/radio_pluto_5d4d/RX0;stream-0/radio_pluto_5d4d/RX1;stream-1/radio_pluto_19f2/RX1;stream-1/radio_pluto_19f2/RX0,sha256:6249169db4611720586d7d842bb95799dde64bd4eadb0829675ef50b73c694d1;sha256:d83b1cfa1d4037275fbeb7ba81231f7714732ce666071dee05776793dbbdda19;sha256:11368a3eb64834984834bad3b33b3e1af07f92e516528121b2d83f87ea183423;sha256:ca31485d7d6cba0de0e6f29ee2a6d4c6eac104b4150eb86ba4962489ad23cc56
cap-20260825T031521-ec8adc0e9426,2026-08-25T03:15:24.819918Z,2026-08-25T03:16:24.955767Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T031521-ec8adc0e9426,sha256:7baa305ac0424cd51c5ce9f82905a35329f7fd5bd9b13f970c111dc897c4d2da,t,capture-9e45d8e1810245d890fc1bf93e581d02,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T03:16:30.324841Z,2026-08-25T03:39:59.160106Z,bulk://analysis/cap-20260825T031521-ec8adc0e9426/capture-9e45d8e1810245d890fc1bf93e581d02/manifest.json,sha256:62a2a8c5cf222a732c4aec89265caf382950202a077c00c63018d98ab456dfa4,sha256:7baa305ac0424cd51c5ce9f82905a35329f7fd5bd9b13f970c111dc897c4d2da,897,138,138,0,0,376451965,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T031521-ec8adc0e9426/manifest.json,/srv/bulk/leo/analysis/cap-20260825T031521-ec8adc0e9426/capture-9e45d8e1810245d890fc1bf93e581d02/manifest.json,4p-same,4,same-band,11.0,10.019120965704133,1365,45,64,stream-1/radio_pluto_19f2/RX1;stream-0/radio_pluto_5d4d/RX0;stream-1/radio_pluto_19f2/RX0;stream-0/radio_pluto_5d4d/RX1,sha256:5a4bff25ad539481f0decdd903c18ce3f03c75dd91d04f6fb9c706ac7608bb19;sha256:f8e6eddf8c56052dd69b34253f6db0382ea23f8e0ce03bc2914f204823ed498b;sha256:21a4bbba9a6b940fa2bd8721f0547a66d38f57dce85b83574f42c7160bfb9e3e;sha256:a6c4b607ae85165f004a448fe95f0796a1d5606857b357abe89c016b818370cc
cap-20260825T033028-374381fbcd3a,2026-08-25T03:30:31.635689Z,2026-08-25T03:31:31.779540Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T033028-374381fbcd3a,sha256:06aee7b8bdf9459d39f51ba2845baaa3967d9e00f976f96efd81b29d68405290,t,capture-84ff52bbc6c946efb9dc72bbed17d5c0,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T03:31:37.000912Z,2026-08-25T03:49:36.450850Z,bulk://analysis/cap-20260825T033028-374381fbcd3a/capture-84ff52bbc6c946efb9dc72bbed17d5c0/manifest.json,sha256:e5bba86f3d3c8af2511043835a44c5ed963c31102ce612e069d4cc6166095c19,sha256:06aee7b8bdf9459d39f51ba2845baaa3967d9e00f976f96efd81b29d68405290,898,138,138,0,0,410736252,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T033028-374381fbcd3a/manifest.json,/srv/bulk/leo/analysis/cap-20260825T033028-374381fbcd3a/capture-84ff52bbc6c946efb9dc72bbed17d5c0/manifest.json,4p-same,4,same-band,13.781115945,28.272733141096523,2377,44,64,stream-0/radio_pluto_5d4d/RX1;stream-1/radio_pluto_19f2/RX0;stream-0/radio_pluto_5d4d/RX0;stream-1/radio_pluto_19f2/RX1,sha256:77fa0bfa4cd640f76294f24368c73cf89a49c4cbcfa9778a56ff8bf3e3753fd6;sha256:0e3d9d9fb7e8d5efa65e5b6a113074af6c6c9168e731e48c90d74ae992e1763f;sha256:dbfb4cb03efdb0d46abdf5e63ef4cfea7a9517b90620cc73b905fdbc1adf9674;sha256:6c320eb9d2cc036ee6c3894c3c8ef40727c1a65d95dc10d1b85f25885bc61831
cap-20260825T033302-80fddf217eb5,2026-08-25T03:33:05.713502Z,2026-08-25T03:34:05.852658Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T033302-80fddf217eb5,sha256:89d54f0abf3baaf88a8a517d6bd652bb317d61a637c5a710dee95cce07967f9d,t,capture-fc960c428d5946d8a44dd8b67ac8215b,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T03:34:10.443073Z,2026-08-25T03:58:36.521137Z,bulk://analysis/cap-20260825T033302-80fddf217eb5/capture-fc960c428d5946d8a44dd8b67ac8215b/manifest.json,sha256:6a39a02932cce9004d6b3026cf32e68df078a3c4cd2110cf4083ffde51865e9e,sha256:89d54f0abf3baaf88a8a517d6bd652bb317d61a637c5a710dee95cce07967f9d,899,138,138,0,0,360860503,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T033302-80fddf217eb5/manifest.json,/srv/bulk/leo/analysis/cap-20260825T033302-80fddf217eb5/capture-fc960c428d5946d8a44dd8b67ac8215b/manifest.json,4p-cross,4,cross-band,4.535696196,88.68582869235706,752,21,64,stream-1/radio_pluto_19f2/RX1;stream-0/radio_pluto_5d4d/RX1;stream-1/radio_pluto_19f2/RX0;stream-0/radio_pluto_5d4d/RX0,sha256:063006a3ce8f8ceda4d81d65241281471e1804c65766bb3f24447a0cd1140299;sha256:a0d1d0065f1dc1c551c75370a36df58c692cd719047b89400778ee397f8d585b;sha256:d5d370f9c182f4eac67a6368eee8fc3dc745d733f2bf78e39233c62d32904005;sha256:332ffc9c2de57acf9ecf454cc86b03aeb85a085b731a0c67ce90fbe07d6561a9
cap-20260825T034929-bc0480bdb4a8,2026-08-25T03:49:32.662937Z,2026-08-25T03:50:32.792573Z,1106770,committed,bulk://recordings/2026/08/25/cap-20260825T034929-bc0480bdb4a8,sha256:9f66f8482d7eaa388385792e02dbce5ec1562fcf72617df2d31bfa6406416667,t,capture-b74d5db52d4f418c88135eb7b96301fe,standard,d331df8eaf4f64bfb2cec75e1c664af10aebbdd8,new_capture,succeeded,2026-08-25T03:50:37.416082Z,2026-08-25T04:09:38.954220Z,bulk://analysis/cap-20260825T034929-bc0480bdb4a8/capture-b74d5db52d4f418c88135eb7b96301fe/manifest.json,sha256:b04c9fafe1a7aae4589ecf67b9d5a1fa8a066a3d953c8932aef5ec8283e920e1,sha256:9f66f8482d7eaa388385792e02dbce5ec1562fcf72617df2d31bfa6406416667,900,138,138,0,0,461796779,/srv/bulk/leo/recordings/2026/08/25/cap-20260825T034929-bc0480bdb4a8/manifest.json,/srv/bulk/leo/analysis/cap-20260825T034929-bc0480bdb4a8/capture-b74d5db52d4f418c88135eb7b96301fe/manifest.json,4p-same,4,same-band,14.5,15.617537353081843,1784,49,64,stream-1/radio_pluto_19f2/RX0;stream-0/radio_pluto_5d4d/RX1;stream-1/radio_pluto_19f2/RX1;stream-0/radio_pluto_5d4d/RX0,sha256:b6a2cd06ca0bcab1b2f6e933a65d84b52638f0dc8598ef8f24165489a3bc62b8;sha256:fc22adab70fbbd61148d25a4eb2ae0d02a61d032c0b6e44435eacf73000e6031;sha256:ec2d6317723496c0c1ba1f4286030f721b5db0a28dd4b938d69254310d370310;sha256:f3b0ae04cdc2df0f94774dd272d7a6e2210c19c82c51cd612589ccf7ea4e6b23
